Domain,Cathcode
2vepA00 , 3.20.20.70
2vrzA00 , 1.10.287.1060
2w3jA00 , 2.60.120.260
2wfhA00 , 3.80.10.10
2wsaA00 , 3.40.630.170
2x7bA00 , 3.40.630.30
2xkbL00 , 3.40.50.1440
2xzeB00 , 1.20.58.280
2yfuA00 , 2.60.120.260
2yufA00 , 3.40.390.60
2z3vA00 , 3.40.50.620
2zomA00 , 3.30.70.120
3abdB00 , 3.30.900.10
3auxA00 , 3.40.50.300
3b8eB00 , 1.20.5.170
3bjbA00 , 1.10.357.10
3bt4A00 , 2.10.80.20
3c6aA00 , 3.30.420.240
3cioA00 , 3.40.50.300
3cqzH00 , 2.40.50.140
3d0jA00 , 2.60.120.10
3dboB00 , 3.40.50.1010
3dr2A00 , 2.120.10.30
3e2jA00 , 3.80.10.10
3ec8A00 , 3.10.20.90
3encA00 , 3.30.310.50
3ez0A00 , 1.20.1260.10
3f9iA00 , 3.40.50.720
3fidA00 , 2.40.128.140
3fxaA00 , 3.40.50.10490
3g9gA00 , 1.20.1270.60
3glvA00 , 3.40.50.620
3gwmA00 , 3.90.470.20
3h5dA00 , 3.20.20.70
3hgkE00 , 1.20.1280.110
3hssA00 , 3.40.50.1820
3i42A00 , 3.40.50.2300
3igqC00 , 2.70.170.10
3iutA00 , 3.90.70.10
3jqyC00 , 2.160.10.10
3k3fA00 , 1.10.3430.10
3kg7A00 , 3.10.129.110
3ktsC00 , 3.20.20.400
3l6vA00 , 2.120.10.90
3ljlA00 , 1.10.357.10
3lw3B00 , 3.10.129.10
3mazA00 , 3.30.505.10
3mn2A00 , 1.10.10.60
3n3wA00 , 1.10.1520.10
3nkgA00 , 2.60.120.790
3nurA00 , 3.20.20.140
3o6nA00 , 3.80.10.10
3oloA00 , 3.30.450.20
3owvB00 , 3.40.570.10
3pg5A00 , 3.40.50.300
3pxvA00 , 3.40.109.10
3qh4A00 , 3.40.50.1820
3qxfA00 , 1.50.10.10
3rd5A00 , 3.40.50.720
3rqzA00 , 3.60.21.10
3sghA00 , 1.25.40.390
3sybA00 , 2.40.160.10
3tevA00 , 3.20.20.300
3tvzA00 , 3.30.70.3430
3uafA00 , 2.60.40.3330
3v3kD00 , 1.20.1260.90
3vpiA00 , 3.90.1720.10
3w57A00 , 2.60.40.150
3woyA00 , 1.25.10.10
3zhgA00 , 3.10.100.10
3zypA00 , 2.60.120.200
4ammA00 , 3.40.366.20
4b6dB00 , 3.30.60.20
4blpB00 , 3.40.50.300
4c6rA00 , 3.40.50.10140
4cp9A00 , 2.60.120.430
4ddnA00 , 2.100.10.30
4dziB00 , 3.20.20.140
4ehcA00 , 2.40.70.10
4f2mE00 , 2.60.40.3130
4fqnC00 , 1.20.1160.20
4gakA00 , 3.10.129.10
4gosA00 , 2.60.40.10
4h87A00 , 2.60.200.20
4hn7A00 , 2.40.50.650
4i1aA00 , 1.25.40.10
4ikbA00 , 3.30.1520.10
4j2nC00 , 1.10.1660.10
4jo0A00 , 3.60.15.10
4k90B00 , 3.10.450.490
4l0cA00 , 3.40.50.1820
4ljkA00 , 3.40.50.450
4m6bA00 , 1.10.20.10
4mlmA00 , 1.10.3210.10
4n4rB00 , 3.30.160.150
4novA00 , 2.115.10.20
4o8uA00 , 3.30.420.440
4oumA00 , 2.60.120.40
4pcvB00 , 3.40.50.720
4q0yA00 , 3.30.1490.400
4qkbA00 , 2.60.120.590
4r7zA00 , 3.40.50.300
4rz0A00 , 2.170.270.10
4u77A00 , 3.30.710.10
4v2bA00 , 2.60.40.10
4wuvA00 , 3.40.50.720
4xpmB00 , 3.40.1840.10
4yliE00 , 3.10.100.10
4zj2A00 , 3.40.710.10
5aiuA00 , 3.30.40.10
5bp3B00 , 3.10.129.110
5cegD00 , 3.30.2310.20
5d6nA00 , 3.40.50.12780
5eccA00 , 3.40.430.10
5fgmA00 , 1.10.10.10
5gvrA00 , 3.40.50.300
5i5pA00 , 3.40.190.170
5jfbA00 , 3.10.250.10
5l92A00 , 1.10.630.10
5tpmB00 , 1.20.120.530
